radio,mcc,mnc,lac,cellid,unit,lon,lat,range,samples,changeable,created,updated,averageSignalStrength
LTE,234,20,1120,566786,0,-0.4549,51.4805,2376,29,1,1416138698,1756682161,0
LTE,234,20,1010,110849,0,-0.1334,51.5153,816,31,1,1416260935,1750278242,0
LTE,234,20,1120,345858,0,-0.4804,51.4792,1604,34,1,1416311739,1753652402,0
LTE,234,20,1117,137473,0,-0.3819,51.5054,1108,37,1,1416429481,1754147846,0
LTE,234,20,1115,139776,0,-0.3688,51.481,7198,33,1,1416429783,1753550243,0
LTE,234,20,1031,279810,0,-0.0958,51.4859,1136,27,1,1416662401,1728749646,0
LTE,234,20,1116,140545,0,-0.3609,51.4659,4798,27,1,1416798379,1756667762,0
LTE,234,20,1119,148481,0,-0.4034,51.484,2119,28,1,1416850396,1756645743,0
UMTS,234,20,119,11041662,431,0.131,51.539,8675,23,1,1417127301,1712907607,0
LTE,234,20,1161,138496,0,-0.0632,51.6099,1938,46,1,1417870449,1752432132,0
LTE,234,20,1054,142849,0,-0.0716,51.5145,1000,21,1,1417885172,1751421004,0
LTE,234,20,1028,118018,0,-0.1149,51.5128,1000,23,1,1417885660,1711918863,0
LTE,234,20,1057,178433,0,-0.2351,51.4895,4355,50,1,1417888062,1746983770,0
LTE,234,20,1114,179970,0,-0.2563,51.4872,3672,120,1,1417888122,1720010479,0
LTE,234,20,1038,113152,0,-0.0757,51.5479,2426,26,1,1417948994,1754531103,0
LTE,234,20,1058,156160,0,-0.1844,51.5016,2477,50,1,1418210755,1732810742,0
LTE,234,20,1103,143872,0,-0.0253,51.529,2061,20,1,1418303568,1717632423,0
LTE,234,20,1037,90624,0,-0.083,51.564,1140,32,1,1418379173,1752432131,0
LTE,234,20,1006,88834,0,-0.1511,51.5393,500,27,1,1418382954,1747264502,0
LTE,234,20,1086,125698,0,0.078,51.4911,853,35,1,1418491606,1754531107,0
UMTS,234,20,1226,7256138,402,-0.0261,51.6517,1403,36,1,1418585843,1712907610,0
UMTS,234,20,49,13077134,126,0.0644,51.5646,7580,47,1,1418657061,1712907613,0
LTE,234,20,1055,576258,0,-0.0909,51.5115,5856,30,1,1418663308,1750009865,0
LTE,234,10,4288,128524152,0,-0.1303,51.5418,1752,15,1,1418769473,1745158982,0
LTE,234,20,1031,279809,0,-0.0939,51.4837,1911,37,1,1418907274,1728749644,0
LTE,234,10,4096,128008056,0,-0.4893,51.4628,2123,18,1,1418935868,1720010475,0
LTE,234,10,4096,128663918,0,-0.4945,51.4858,5237,23,1,1418936148,1740930010,0
UMTS,234,20,49,13095035,5,0.1003,51.5804,3860,83,1,1418939203,1712907611,0
LTE,234,20,1107,134914,0,-0.2566,51.5548,5375,27,1,1419082151,1742221864,0
LTE,234,20,1015,146178,0,-0.2043,51.5631,2768,16,1,1419082775,1742221865,0
LTE,234,20,1105,176129,0,-0.2894,51.5654,1115,50,1,1419233011,1744229641,0
LTE,234,20,1106,680706,0,-0.2583,51.5359,1000,20,1,1419350323,1744229701,0
UMTS,234,20,1239,7433617,424,-0.2856,51.5343,1225,34,1,1419350447,1712907606,0
LTE,234,15,6157,128152852,0,-0.0374,51.5319,1000,7,1,1419506410,1751768463,0
LTE,234,15,6148,128056586,0,0.2652,51.6095,903,50,1,1419506417,1733154812,0
LTE,234,15,6148,128056596,0,0.256,51.6076,17150,32,1,1419506417,1733154812,0
LTE,234,20,1183,157186,0,0.0139,51.4357,2941,21,1,1419592176,1736416507,0
LTE,234,20,1139,146688,0,-0.1189,51.3892,2781,21,1,1419603050,1720771085,0
UMTS,234,15,302,50852567,486,-0.177,51.5158,1611,42,1,1420213011,1710591129,0
GSM,234,30,2291,36176,0,-0.3271,51.3092,3201,55,1,1420833925,1725822363,0
GSM,234,30,2291,13117,0,-0.3503,51.3143,4263,37,1,1420834040,1725822302,0
LTE,234,20,1045,80640,0,-0.1652,51.5004,2833,20,1,1421179737,1720010480,0
LTE,234,20,1046,161026,0,-0.1452,51.4974,7849,42,1,1421179737,1717774142,0
LTE,234,20,1046,161024,0,-0.1396,51.4987,5884,32,1,1421179737,1743156722,0
LTE,234,20,1046,81664,0,-0.1485,51.4933,500,50,1,1421179737,1729444262,0
LTE,234,20,1112,198913,0,-0.2738,51.4895,8120,30,1,1421179736,1720555203,0
LTE,234,20,1114,179968,0,-0.2462,51.4896,4357,41,1,1421179737,1720010479,0
LTE,234,20,1057,164865,0,-0.2176,51.4906,4766,74,1,1421179737,1720010479,0
LTE,234,20,1058,199426,0,-0.1987,51.4945,1743,22,1,1421179737,1720010479,0
LTE,234,20,1045,113920,0,-0.1621,51.5008,1000,26,1,1421179737,1720010480,0
LTE,234,20,1113,154881,0,-0.295,51.4913,6173,63,1,1421179736,1720010478,0
LTE,234,20,1057,105985,0,-0.2266,51.4937,735,50,1,1421179737,1746983770,0
GSM,234,30,2187,2754,0,0.1077,51.2844,1000,21,1,1421438470,1718147102,0
LTE,234,20,1069,692481,0,-0.0311,51.4882,3730,15,1,1421493906,1730368562,0
UMTS,234,10,21090,5929183,340,-0.1825,51.5071,902,27,1,1421668734,1741107723,0
LTE,234,10,4320,128006520,0,-0.1818,51.5067,1954,40,1,1421668860,1747663382,0
LTE,234,20,1017,521985,0,-0.1407,51.5737,689,26,1,1422035174,1742669402,0
LTE,234,20,1109,124672,0,-0.276,51.5403,623,27,1,1422077047,1744229701,0
UMTS,234,20,1226,7267335,61,-0.0293,51.656,1000,38,1,1422097412,1712907610,0
UMTS,234,20,1226,7268452,61,-0.0316,51.6577,1116,11,1,1422100276,1712907609,0
GSM,234,30,2310,22723,0,0.2633,51.6067,1066,27,1,1422338831,1739536802,0
GSM,234,30,2120,22964,0,0.2873,51.5552,1686,27,1,1422339101,1742128981,0
LTE,234,20,1010,110850,0,-0.1394,51.5155,1402,22,1,1422816338,1742855222,0
GSM,234,30,2214,58742,0,0.2092,51.3851,4233,27,1,1423084224,1739026083,0
GSM,234,30,2214,58741,0,0.1957,51.3959,2163,27,1,1423084239,1741721641,0
GSM,234,30,2214,22749,0,0.243,51.4376,2527,27,1,1423096329,1740775201,0
GSM,234,30,2214,51807,0,0.2361,51.4271,1000,27,1,1423096329,1733852462,0
LTE,234,10,4112,128455032,0,-0.0552,51.5496,2104,27,1,1423438327,1745251142,0
GSM,234,30,2187,32633,0,0.1512,51.3584,76633,43,1,1423547592,1718146622,0
GSM,234,30,2187,32634,0,0.1338,51.3227,72818,30,1,1423547697,1718146683,0
LTE,234,15,12306,391956,0,-0.1482,51.4821,1000,11,1,1423563259,1729444262,0
LTE,234,10,4112,128592258,0,-0.0766,51.5479,1964,21,1,1423587858,1745158982,0
LTE,234,20,1161,138497,0,-0.066,51.6021,2018,27,1,1423661264,1752432132,0
GSM,234,30,2214,3697,0,0.3155,51.4279,2950,27,1,1423829751,1740788702,0
LTE,234,20,1116,755968,0,-0.3688,51.4695,5066,23,1,1424013005,1756584663,0
LTE,234,20,1116,140546,0,-0.3706,51.4686,1000,12,1,1424013124,1756645743,0
LTE,234,20,1046,81666,0,-0.1498,51.4906,7589,59,1,1424113213,1719174681,0
UMTS,234,20,1240,15813002,205,-0.1702,51.5346,4547,21,1,1458826484,1712907602,0
UMTS,234,20,49,13076708,384,0.0758,51.5962,4592,37,1,1452172755,1712907613,0
UMTS,234,20,49,13074762,251,0.0936,51.5945,2432,129,1,1458838680,1712907614,0
